The 88  ;"Hard to Be You"
The 88  ;"Hide Another Mistake"
The 88  ;"How Good Can It Be"
A.C. Newman ;"On the Table"
Aaron D ;"In Your Eyes"
Air ;"La Femme D'argent"
Air;"Universal Traveler"
Alan Paul;"Adios"
The Album Leaf;"Another Day"
The Album Leaf;"Eastern Glow"
The Album Leaf;"On Your Way"
The Album Leaf;"The Outer Banks"
The Album Leaf;"TwentyTwoFourteen"
The Album Leaf;"Streamside"
Alexi Murdoch;"All My Days"
Alexi Murdoch;"Orange Sky"
Alkaline Trio;"We've Had Enough"
The All-American Rejects;"Swing, Swing"
All Sad Girls are Beautiful;"Baby Blue"
Ambulance LTD;"Primitive (The Way I Treat You)"
Anna & Summer;"Thank You for Being a Friend"
The Androids;"Do It with Madonna"
APM;"Back To Ours"
APM;"Dreidel Dreidel Dreidel"
APM;"Here Comes the Bride"
APM;"God Rest Ye Merry Gentlemen"
APM;"Silent Night"
April March;"Garcon Glacon"
Aqualung;"Gentle"
Aqualung;"Strange and Beautiful (I'll Put a Spell on You)"
Aqualung;"Take Me Home"
Aqueduct;"Hardcore Days & Softcore Nights"
Arkarna;"House on Fire"
Army Navy;"Snakes of Hawaii"
Arthur Yoria;"Call Me"
Ash;"Burn Baby Burn"
Ashtar Command;"Into Dust"
Athlete;"Tourist"
Audible;"Sound Makes a Circle"
Azure Ray;"New Resolution"
Band of Horses;"The End's Not Near"
Banda Jerez;"La Chirriona"
Bang Gang;"Follow"
B.A.S.K.O.;"Ain't No Game"
Beastie Boys;"Ch-Check It Out"
Beat Phreaks;"Mi Casa"
Bebel Gilberto;"Winter"
Beck;"E-Pro"
Beck;"Girl"
Beck;"Missing"
Beck;"Qué Onda Guero"
Beck;"Scarecrow"
Beck;"True Love Will Find You in the End"
Belle & Sebastian;"If She Wants Me"
Belle & Sebastian;"Song for Sunshine"
Bell X1;"Eve, the Apple of My Eye"
Bell X1;"In Every Sunflower"
Ben Gidsoy;"Need Music"
Ben Harper;"Waiting For You"
Ben Kweller;"Rock of Ages"
The Beta Band;"Assessment"
Bettie Serveert;"Lover I Don't Have to Love"
Beulah;"Popular Mechanics for Lovers"
Billy Squier;"The Stroke"
The Black Eyed Peas;"Hands Up"
The Black Eyed Peas;"Let's Get Retarded"
Black Flag;"Wasted"
The Black Keys;"10 A.M. Automatic"
Black Rebel Motorcycle Club;"Open Invitation"
Black Rebel Motorcycle Club;"Salvation"
Black Rebel Motorcycle Club;"Shuffle Your Feet"
Black Rebel Motorcycle Club;"Weight of the World"
Blind Melon;"No Rain"
Blue Foundation;"Get Down"
Blue Foundation;"Save this Town"
Bloc Party;"Banquet"
Bloc Party;"Blue Light"
Bloc Party;"I Still Remember"
Bloc Party;"Kreuzberg"
Bloc Party;"Positive Tension"
Bloc Party;"Pioneers"
The Blood Arm;"Stay Put"
Bob Mould;"Circles"
Bob Seger;"Night Moves"
Boom Bip feat. Nina Nastasia;"The Matter (of Our Discussion)"
Boyz II Men;"End of the Road"
Brandtson;"Earthquakes & Sharks"
Bratsound;"One Day"
Brassy;"Play Some D"
The Bravery;"An Honest Mistake"
Brendan Benson;"What I'm Looking For"
The Briefs;"Getting Hit On At The Bank"
Bright Eyes;"Blue Christmas"
Bromheads Jacket;"What If's And Maybe's"
Brooke;"I Wanna Be Happy"
Brookeville;"Walking on Moonlight"
Brothers and Sisters;"Without You"
Butch Walker;"Hot Girls In Good Moods"
Buva;"Should I Know"
Calla;"Swagger"
Camera Obscura;"Keep It Clean"
Car 188;"Bridal March"
Carmen Rizzo (featuring Kate Havnevik);"Travel In Time"
Casiotone for the Painfully Alone;"Young Shields"
Catherine Feeny;"Mr. Blue"
Chad VanGaalen;"Gubbbish"
Cham Pain;"Get Down"
Cham Pain;"Show Me"
CHAP 200;"Silent Night"
Charlotte Gainsbourg;"Tel Que Tu Es"
Chelo;"Voodoo"
The Chemical Brothers;"Leave Home"
The Chemical Brothers;"Marvo Ging"
The Chemical Brothers;"Out of Control"
Chingy;"Dem Jeans"
Chris Holmes;"China"
Chris Holmes;"I Don't Care What My Friends Say"
Chris Murray;"Heartache"
Christina Lux;"All the Kings Horses"
The Church;"Under the Milky Way"
Citizens Here & One Broad;"Appearances"
Clearlake;"Good Clean Fun"
Client;"Come On"
Clinic;"Come Into Our Room"
Clinic;"The New Seeker"
Cobra Verde;"Get the Party Started"
Cobra Verde;"Waiting For a Girl Like You"
Coconut Records;"West Coast"
Coldplay;"Fix You"
Commuter;"Chapters"
Cooler Kids;"All Around the World"
Crash My Model Car;"In Dreams"
The Cribs;"Hey Scenesters!"
The Crystal Method;"Born Too Slow"
Daft Punk;"Technologic"
Damien Jurado;"What Were the Chances"
Damien Rice;"Cannonball"
The Dandy Warhols;"Holding Me Up"
The Dandy Warhols;"We Used to Be Friends"
The Dandy Warhols;"(You Come In) Burned"
David Poe;"Doxology"
The Dead 60s;"You're Not the Law"
Death Cab for Cutie;"A Lack of Color"
Death Cab for Cutie;"A Movie Script Ending"
Death Cab for Cutie;"Soul Meets Body"
Death Cab for Cutie;"The Sound of Settling"
Death Cab for Cutie;"Title and Registration"
The Delgados;"Everybody Come Down"
Descemer;"Pa' Arriba"
Diefenbach;"Favourite Friend"
Digby Jones;"Under the Sea"
Dionne Warwick and Friends;"That's What Friends Are For"
Dios Malos;"Everyday"
Dios Malos;"You Got Me All Wrong"
Dirty Pretty Things;"Deadwood"
Dirty Vegas;"Closer"
Dogzilla;"Dogzilla"
Dopo Yume;"The Secret Show"
Doves;"Caught by the River"
Dropkick Murphys;"Walk Away"
Eagles of Death Metal;"Flames Go Higher"
Eagles of Death Metal;"I Only Want You"
Earlimart;"We Drink on the Job"
Eartha Kitt;"Santa Baby"
Editors;"Orange Crush"
Eberg;"Inside Your Head"
Eels;"Christmas is Going to the Dogs"
Eels;"Love of the Loveless"
Eels;"Saturday Morning"
Efterklang;"Step Aside"
Electrelane;"On Parade"
Electric President;"Insomnia"
Electric President;"Grand Machine #12"
Elefant;"Ester"
Elliott Smith;"Pretty (Ugly Before)"
Elliott Smith;"Twilight"
Elvis Perkins;"While You Were Sleeping"
Embrace;"I Can't Come Down"
Enrique Iglesias;"Addicted"
Evermore;"It's Too Late"
The Explorers Club;"Forever"
The Faders;"Disco Church"
The Faint;"Desperate Guys"
Feeder;"Frequency"
Feist;"Let It Die"
Fine China;"My Worst Nightmare"
Finley Quaye & William Orbit;"Dice"
The Fire Theft;"Summer Time"
Firstcom;"Hannukah Lights"
Firstcom;"Silent Night"
Firstcom;"Silent Night On The Prairie"
Firstcom;"We Wish You a Merry Christmas"
The Flaming Sideburns;"Flowers"
Flunk;"Play"
Fountains of Wayne;"All Kinds of Time"
Francine;"Albany Brownout"
Frank Chacksfield;"Theme From Picnic (Moonglow)"
Franz Ferdinand;"Do You Want To"
Franz Ferdinand;"Jacqueline"
Frausdots;"Soft Light"
Fredo Viola;"The Sad Song"
The Funky Lowlives;"Sail Into the Sun"
The Futureheads;"Decent Days and Nights"
The Futureheads;"Meantime"
Gang of Four;"I Love a Man in Uniform"
The Go Find;"Summer Quest"
George Jones;"A Picture of Me (Without You)"
Get Cape. Wear Cape. Fly;"I Spy"
Get Cape. Wear Cape. Fly;"Once More With Feeling"
Giuseppe Verdi;"Questa o Quella"
Goldspot;"Time Bomb"
Goldspot;"Float On"
Gomez;"Silence"
Gordon Jenkins;"Caravan"
Gorillaz;"El Mañana"
Gorillaz;"Kids With Guns"
Grade 8;"Brick by Brick"
The Grand Skeem;"Eya Eya Oy"
The Grand Skeem;"Rock Like This"
The Grand Skeem;"Sucka MCs"
Guster;"Brand New Delhi"
Guster;"Carol of the Meows"
Guster;"I Love A Man In Uniform"
Guster;"I Only Have Eyes For You"
Guster;"Keep it Together"
Guster;"Mamacita, Donde Esta Santa Claus"
Guster;"My Favourite Friend"
Guster;"Our House"
Guster;"Shuffle Your Feet"
Gwen Stefani;"Cool"
Halloween, Alaska;"All the Arms Around You"
Halloween, Alaska;"Des Moines"
Har Mar Superstar;"As (Seasons)"
Hard-Fi;"Gotta Reason"
Havergal;"New Innocent Tyro Allegory"
Henry Mancini;"Loose Caboose"
Henry Mancini;"Something for Cat"
Highwater Rising;"Pillows and Records"
Home Video;"Superluminal"
Hot Chip;"And I Was A Boy From School"
Hot Hot Heat;"Christmas Day in the Sun"
Howling Bells;"Low Happening"
DJ Harry;"All My Life"
Hyper;"Antmusic"
I Am Jen;"Broken in All the Right Places"
I Am Kloot;"3 Feet Tall"
Ian Broudie;"Song for No One"
Imogen Heap;"Goodnight & Go"
Imogen Heap;"Hide and Seek"
Imogen Heap;"Hallelujah"
Imogen Heap;"Speeding Cars"
Infusion;"Girls Can Be Cruel"
Infusion;"Natural"
Interpol;"Evil"
Interpol;"Specialist"
The Invisible Men;"Make It Bounce"
Iron & Wine;"The Sea and the Rhythm"
Jacob Golden;"On a Saturday"
James Blunt;"Fall At Your Feet"
James Horner;"Sing, Sing, Sing, (With a Swing)"
James William Hindle;"Leaving Trains"
Jason Mraz;"You and I Both"
The Jayhawks;"Save It for a Rainy Day"
Jazzelicious;"Cali4nia"
Jazzelicious;"Sambossa"
J. Belle;"No Idea"
Jeff Buckley;"Hallelujah"
Jem;"Flying High"
Jem;"Just a Ride"
Jem;"Maybe I'm Amazed"
Jet;"Get What You Need"
Jet;"Move On"
Jet;"Shine On"
Jet;"Put Your Money Where Your Mouth Is"
Jimmy Eat World;"Last Christmas"
Joe Evans & Friends;"No Easy Way To Say Goodbye"
The John Buzon Trio;"Caravan"
John Digweed;"Warung Beach"
John Paul White;"Can't Get it Out of My Head"
Johnathan Rice;"So Sweet"
Jonathan Boyle;"Samba Sandwich"
José González;"Stay In The Shade"
José González;"Crosses"
Joseph Arthur;"Honey and the Moon"
Joseph Arthur;"A Smile That Explodes"
Journey;"Open Arms"
Journey;"Separate Ways (Worlds Apart)"
Joy Zipper;"Baby, You Should Know"
Juana Molina;"Tres Cosas"
Jude;"Out of L.A."
Jude;"Save Me"
Justin Catalino;"Beat Up Blue (Lucid Version)"
Kaiser Chiefs;"Saturday Night"
Kaiser Chiefs;"Na Na Na Na Naa"
Kasabian;"Reason is Treason"
K-Dub;"Get Krunk"
Keane;"Walnut Tree"
Keane;"A Bad Dream"
Kelis;"Bossy"
The K.G.B.;"I'm a Player"
Kid Gloves;"Espionage"
The Killers;"Everything Will Be Alright"
The Killers;"Mr. Brightside"
The Killers;"Smile Like You Mean It"
The Kingdom Flying Club;"Artists are Boring"
Kings of Convenience;"Misread"
The Kooks;"Ooh La"
The Koreans;"How Does It Feel"
La Rocca;"If You Need the Morning"
La Rocca;"Some You Give Away"
Lady Sovereign;"Pretty Vacant"
Lady Sovereign;"Love Me or Hate Me"
Lady Sovereign;"Random"
Ladytron;"Sugar"
Lali Puna;"Faking the Books"
Laptop;"Ratso Rizzo"
Laptop;"Want In"
LCD Soundsystem;"Daft Punk is Playing at My House"
LCD Soundsystem;"Too Much Love"
Leaves;"Breathe"
Leona Naess;"Christmas"
Leona Naess;"Lazy Days"
Less Than Jake;"The Science of Selling Yourself Short"
Le Tigre;"TKO"
Living Things;"Bom Bom Bom"
Liz Phair;"Why Can't I?"
Lockdown Project;"Can You Feel It?"
The Long Winters;"Christmas With You Is Best"
The Long Winters;"The Commander Thinks Aloud"
The Long Winters;"Fire Island, AK"
Los Cubaztecas;"La Conga De Santiago"
Los Cubaztecas;"Ritmo De Oro"
Lou Barlow;"Legendary"
Louis XIV;"God Killed the Queen"
Love As Laughter;"Dirty Lives"
Love of Diagrams;"No Way Out"
Low;"Just Like Christmas"
The Low Standards;"Du Temps"
The Low Standards;"Every Little Thing"
Luce;"Good Day"
Luther Russell;"When You're Gone"
The M's;"Come Into Our Room"
The M's;"Plan Of The Man"
Magnet;"Dancing in the Moonlight"
Magnet feat. Gemma Hayes;"Lay Lady Lay"
Manishevitz;"Beretta"
Manu Chao;"Lágrimas De Oro"
Marc Durst Trio;"Night Groove"
Mark Lanegan Band;"Strange Religion"
Mark Vieha;"Way To Go"
Martina Topley Bird;"I Only Have Eyes For You"
Martina Topley Bird;"Soulfood"
Martin Denny;"Love Dance"
Martin Denny;"Quiet Village"
Mascott;"Turn Off/Turn On"
Mastersource;"Dreamtime"
Mastersource;"Watching the Game at Joes"
Mastersource;"Something For You"
Mastersource;"Walkin' the Walk"
Mates of State;"California"
Matt Pond PA;"Champagne Supernova"
Matt Pond PA;"In the Aeroplane Over the Sea"
Matt Pond PA;"New Hampshire"
Maximum Roach;"Let it Roll"
Mazzy Star;"Into Dust"
M. Craft;"Love Knows How to Fight"
M. Craft;"Somewhere in Between"
M. Craft;"Sweets"
Mellowman Ace;"Latinos Mundial"
M.I.A.;"Fire Fire"
The Midway State;"Unaware"
Minibar;"Breathe Easy"
Mocean Worker;"Right Now"
Modest Mouse;"Float On"
Modest Mouse;"Paper Thin Walls"
Modest Mouse;"The View"
Modest Mouse;"The World at Large"
Mojave 3;"Bill Oddity"
Mojave 3;"Bluebird of Happiness"
Mojave 3;"Breaking the Ice"
Mosquitos;"Boombox"
Mosquitos;"Domesticada"
Ms. John Soda;"Hands"
My Pet Genius;"Rae"
The Murmurs;"Big Talker"
Nada Surf;"If You Leave"
The National Trust;"It's Just Cruel"
The New Amsterdams;"The Spoils of the Spoiled"
The New Pornographers;"The New Face Of Zero And One"
The New Year;"The End's Not Near"
Nikka Costa;"On and On"
Nine Black Alps;"Unsatisfied"
The Obscurities;"Stop Dragging Me Down"
Oceansize;"Meredith"
Of Montreal;"Requiem for O.M.M."
Of Montreal;"Gronlandic Edit"
Of Montreal;"Party's Crashing Us"
Ohio Players;"Fire"
OK Go;"You're So Damn Hot"
Olympic Hopefuls;"Let's Go!"
Orange;"No Rest for the Weekend"
Orenda Fink;"Blind Asylum"
Orquestra Del Plata;"Montserrat"
Pajo;"High Lonesome Moan"
Palm Street;"Break"
Pansy Division;"At the Mall"
